,url,tags
0,https://medium.com/@ishashankkumar/a-trip-to-the-library-can-help-reduce-recurring-bills-23bca495cdf5?source=topic_page---------2------------------1,"['Top ', 'Story', 'Submit, ', 'Test preparation resources for exams like ', 'G.', 'E.', 'D., ', 'A', 'C', 'T, ', 'S.', 'A.', 'T., ', 'C.', 'B.', 'E.', 'S.', 'T., ', 'G.', 'R.', 'E, etc.', 'Tuition funding sources like a database of available college scholarships in the area.', 'Reference books in fields like ', 'History, ', 'Legal, ', 'Medicines, etc.', 'Sources to learn new languages., ', 'Saving', 'Learning', 'Libraries', 'Money', 'Productivity']"
1,https://medium.com/bloomberg-opinion/for-streamers-the-great-unbundling-was-too-good-to-be-true-181d0fe4e036?source=topic_page---------0------------------2,"['Television', 'Streaming', 'Netflix']"
2,https://medium.com/bloomberg-opinion/millennials-on-the-cusp-of-middle-age-missed-their-boom-3957fd21e117?source=topic_page---------1------------------2,"['Millennials', 'Money', 'Economy']"
3,https://medium.com/bloomberg-opinion/can-blind-auditions-help-women-succeed-yes-9a3b33c90a38?source=topic_page---------2------------------2,"['Hiring', 'Psychology', 'Gender ', 'Bias']"
4,https://medium.com/swlh/goldman-sachs-faces-investigation-after-viral-tweet-calls-apple-card-sexist-82dc44744421?source=topic_page---------4------------------1,"['Top ', 'Story', 'Submit, ', 'Apple', 'Twitter', 'Business', 'World', 'News']"
5,https://medium.com/the-motley-fool/3-pieces-of-dated-retirement-advice-you-should-ignore-the-motley-fool-9280dade53cf?source=topic_page---------5------------------1,"['Investing', 'Retirement', 'Retirement ', 'Planning', 'Financial ', 'Planning', 'Budgeting']"
6,https://medium.com/swlh/kakeibo-the-age-old-japanese-art-of-saving-money-c208516e942e?source=topic_page---------6------------------1,"['Top ', 'Story', 'Submit, ', 'Money', 'Finance', 'Budgeting', 'Budget', 'Saving ', 'Money']"
7,https://medium.com/swlh/how-often-should-you-look-at-your-investment-portfolio-2cd7bfa71a56?source=topic_page---------7------------------1,"['Top ', 'Story', 'Submit, ', 'Investing', 'Money', 'Finance', 'Stock ', 'Market', 'Retirement']"
8,https://medium.com/bloomberg-opinion/millennials-on-the-cusp-of-middle-age-missed-their-boom-3957fd21e117?source=topic_page---------9------------------1,"['Millennials', 'Money', 'Economy']"
9,https://medium.com/swlh/icos-a-history-of-building-castles-in-the-air-a4b508efdc5?source=topic_page---------11------------------1,"['Top ', 'Story', 'Submit, ', 'Finance', 'Investing', 'Financial ', 'Bubbles', 'Crypto', 'History ', 'Of ', 'Technology']"
10,https://medium.com/swlh/a-swedish-unicorn-called-klarna-c514508bf8ce?source=topic_page---------12------------------1,"['Top ', 'Story', 'Submit, ', 'Fintech', 'Money', 'Business', 'Debt', 'Technology']"
11,https://medium.com/the-give-take/challenge-the-reasons-you-give-fe32d078cc0f?source=topic_page---------13------------------1,"['Nonprofit', 'Charity', 'Money', 'Mindfulness', 'Perspective']"
